id,view,source_group,role,feature_status,s16_feature_status,s8_feature_status,d_feature_status,r_feature_status,p_feature_status,published_original_path,published_original_revision
ai_acestep_muse_cn_suno_cn_000107_1,10s,ACE-Step,development,complete,computed,computed,eligible,unavailable_fewer_than_16_beats_or_invalid_intervals,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000134_1,10s,ACE-Step,development,complete,computed,computed,eligible,unavailable_fewer_than_16_beats_or_invalid_intervals,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000244_1,10s,ACE-Step,locked,complete,computed,computed,eligible,unavailable_fewer_than_16_beats_or_invalid_intervals,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000268_1,10s,ACE-Step,development,complete,computed,computed,eligible,unavailable_fewer_than_16_beats_or_invalid_intervals,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000394_1,10s,ACE-Step,development,complete,computed,computed,eligible,unavailable_fewer_than_16_beats_or_invalid_intervals,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000484_0,10s,ACE-Step,development,complete,computed,computed,eligible,unavailable_fewer_than_16_beats_or_invalid_intervals,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000585_1,10s,ACE-Step,development,complete,computed,computed,eligible,unavailable_fewer_than_16_beats_or_invalid_intervals,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000676_0,10s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000679_1,10s,ACE-Step,development,complete,computed,computed,eligible,unavailable_fewer_than_16_beats_or_invalid_intervals,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000877_0,10s,ACE-Step,locked,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000887_1,10s,ACE-Step,development,complete,computed,computed,eligible,eligible,unavailable_fewer_than_3_sections_or_downbeat_spans,,
ai_acestep_muse_cn_suno_cn_000896_0,10s,ACE-Step,development,complete,computed,computed,eligible,unavailable_fewer_than_16_beats_or_invalid_intervals,unavailable_fewer_than_3_sections_or_downbeat_spans,,
