experiment,legacy_id,label,source,relative_source_path,duration_s,sample_rate_hz,crop_start_s,historical_split,original_audio_hash,original_audio_publication_verified
frequency_ablation_20260813,003907d4700f14af,0,fma_medium,fma_medium/129/129090.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,030c003d361126bd,0,fma_medium,fma_medium/095/095517.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,05478d9e09dfdf6b,0,fma_medium,fma_medium/132/132044.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,05bc5b8385a11f38,0,fma_medium,fma_medium/129/129228.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,06c6b0d8336ba120,0,fma_medium,fma_medium/000/000767.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,08d428dd9965fe9b,0,fma_medium,fma_medium/030/030717.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,098942e5dd135ee8,0,fma_medium,fma_medium/130/130078.mp3,30.0,48000,0.0,,,False
frequency_ablation_20260813,0b393e3553efa2cb,0,fma_medium,fma_medium/139/139875.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,0b8ecf16ca625abf,0,fma_medium,fma_medium/054/054700.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,0b9139349dd8765d,0,fma_medium,fma_medium/024/024514.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,0bf18bc095dddb76,0,fma_medium,fma_medium/026/026629.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,0cffb6863cb8684d,0,fma_medium,fma_medium/048/048408.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,0d5c9259d13ee7cd,0,fma_medium,fma_medium/116/116449.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,0dd14b5d0f0ea793,0,fma_medium,fma_medium/071/071243.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,0e1d0e3ffe1eb75c,0,fma_medium,fma_medium/022/022370.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,10dc274db50fa0c7,0,fma_medium,fma_medium/123/123828.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,14b212870af9ac35,0,fma_medium,fma_medium/133/133551.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,14dbe027cc79e53f,0,fma_medium,fma_medium/132/132800.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,14e91c7e09ad2f56,0,fma_medium,fma_medium/126/126242.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,15457c34a9c2fc70,0,fma_medium,fma_medium/064/064690.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,15df5096853ff148,0,fma_medium,fma_medium/152/152467.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,18f42b053cdfacac,0,fma_medium,fma_medium/014/014391.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,19c97f3ab61cced4,0,fma_medium,fma_medium/143/143098.mp3,30.014694,44100,0.007346999999999326,,,False
frequency_ablation_20260813,1a55f28b81470caf,0,fma_medium,fma_medium/148/148882.mp3,30.014694,44100,0.007346999999999326,,,False
