id,label,source_group,role,original_role,group_id,condition_id,native_sample_rate_hz,native_duration_s,raw_sha256,provenance_status,acquisition,duration_sec,duration_view,crop_start_s,audio_offset_s,requires_crop,eligible_common8,eligible_fullband,generator_family,evaluation_allowed
ai_acestep_muse_cn_suno_cn_000107_1,1,ACE-Step,development,development,muse:suno_cn_000107,muse:suno_cn_000107,48000,30.0,dfb750eed17b160a8fe7b62a277a60767966a6b1765fbb733e4068dd385466ab,legacy,prior,10,10s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000134_1,1,ACE-Step,development,development,muse:suno_cn_000134,muse:suno_cn_000134,48000,30.0,35ee175364ccdadd36771e8874e500c0be5d9bd898c426a16212c45fe0c221e7,legacy,prior,10,10s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000244_1,1,ACE-Step,locked,locked_test,muse:suno_cn_000244,muse:suno_cn_000244,48000,30.0,b7be5c7076f6252e3cd08b61e597b9990064e3a94f437af95f830c2c86b03d36,legacy,prior,10,10s,0.0,0.0,1,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000268_1,1,ACE-Step,development,development,muse:suno_cn_000268,muse:suno_cn_000268,48000,30.0,907d3ae7d2970a8f1eba5d828289a00cefbf265f36652e0333af0d0a411092ea,legacy,prior,10,10s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000394_1,1,ACE-Step,development,development,muse:suno_cn_000394,muse:suno_cn_000394,48000,30.0,7c3e18294607a63f688cfe588c5c69e080e54b9105202a4b317524193f33914a,legacy,prior,10,10s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000484_0,1,ACE-Step,development,development,muse:suno_cn_000484,muse:suno_cn_000484,48000,30.0,cbe34e8ed1ea463199f1d1b6b2f934ca5e248e6d352bc8c1286e4484d9cce346,legacy,prior,10,10s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000585_1,1,ACE-Step,development,development,muse:suno_cn_000585,muse:suno_cn_000585,48000,30.0,75f7ccf6ddb70289e7c6ef222d9dc842f5fd064ef88e4dce41bbb6d259077183,legacy,prior,10,10s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000676_0,1,ACE-Step,development,development,muse:suno_cn_000676,muse:suno_cn_000676,48000,30.0,51625bbb1ab78dd6be10d97ccdc9e9f3553b4f5c8a6b2b5001ee623ac550afb9,legacy,prior,10,10s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000679_1,1,ACE-Step,development,development,muse:suno_cn_000679,muse:suno_cn_000679,48000,30.0,617206053006e41e81cdca5d02c4514ece3de8181c509b157e1f25a0475d7331,legacy,prior,10,10s,0.0,0.0,0,1,1,ACE-Step,
ai_acestep_muse_cn_suno_cn_000877_0,1,ACE-Step,locked,locked_test,muse:suno_cn_000877,muse:suno_cn_000877,48000,30.0,a0708c7267921d467eef405e7225463c3ef8c9b0ee98712ea2cbf107bfa70245,legacy,prior,10,10s,0.0,0.0,1,1,1,ACE-Step,
